country,happiness ranking,annual working time
Mexico,23,2250
South Korea,54,2070
Greece,82,2035
India,140,1980
Chile,26,1970
Russia,68,1974
Poland,40,1928
Latvia,53,1910
Isreal,13,1889
Ireland,16,1879
Estonia,55,1855
Portugal,66,1842
United States,19,1781
Czech Republic,20,1770
Hungary,62,1761
New Zealand,8,1752
Slovak Republic,38,1740
Italy,36,1730
Japan,58,1714
Canada,9,1703
Spain,30,1695
Slovenia,44,1682
United Kingdom,15,1676
Australia,11,1669
Finland,1,1653
Sweden,7,1621
Austria,10,1601
Switzerland,6,1590
Belgium,18,1541
Luxembourg,14,1512
France,24,1472
Netherlands,5,1430
Norway,3,1424
Denmark,2,1410
Germany,17,1363
